word,value
complicated,-1
astray,-1
wily,-1
wayward,-1
unweildy,-1
unsophisticated,-1
unruly,-1
unqualified,-1
unfeeling,-1
unease,-1
undignified,-1
uncouth,-1
uncivil,-1
tawdry,-1
thorny,-1
stodgy,-1
skittish,-1
scared,-1
reticent,-1
rash,-1
prideful,-1
presumptuous,-1
plebian,-1
pessimistic,-1
peevish,-1
obtuse,-1
obstinate,-1
misbegotten,-1
macabre,-1
languid,-1
laconic,-1
lame-duck,-1
irritable,-1
insubstantial,-1
insecurity,-1
infirme,-1
ineloquent,-1
inelegant,-1
indolent,-1
incongruous,-1
inarticulate,-1
impure,-1
inprudent,-1
improper,-1
impractical,-1
imposition,-1
immodest,-1
immoderate,-1
illusory,-1
ill-mannered,-1
ill-favored,-1
hasty,-1
halfhearted,-1
grouchy,-1
heavyhearted,-1
gawky,-1
gauche,-1
foreboding,-1
fastidious,-1
erroneous,-1
erratic,-1
doubtful,-1
distracting,-1
discourteous,-1
disadvantageous,-1
devoid,-1
defunct,-1
counterproductive,-1
confusion,-1
careless,-1
brusque,-1
boastful,-1
aimless,-1
aloof,-1
gratuitous,-2
derogatory,-2
rain-soaked,-2
adverse,-2
alarming,-2
alien,-2
alleged,-2
amateurish,-2
amateurish-looking,-2
anxious,-2
apprehensive,-2
arbitrary,-2
awry,-2
black-market,-2
bland,-2
bleary-eyed,-2
bloody,-2
brash,-2
bulky,-2
chaotic,-2
chintzy,-2
chubby,-2
underwritten,-2
undone,-2
cheesy,-2
chunky,-2
clumsy,-2
clunky,-2
coarse,-2
cocky,-2
confusing,-2
congested,-2
convoluted,-2
cooked-on,-2
corny,-2
cost-cutting,-2
costly,-2
cotton-pickin,-2
cotton-picking,-2
creaky,-2
critical,-2
crumbling,-2
cumbersome,-2
cursory,-2
darn,-2
depressed,-2
derivative,-2
desperate,-2
deviant,-2
dire,-2
discriminating,-2
disjointed,-2
disorderly,-2
disorganized,-2
dissatisfied,-2
double-cross,-2
dubious,-2
dull,-2
emotionless,-2
empty,-2
evasive,-2
excessive,-2
fake,-2
fast-food,-2
featureless,-2
fed-up,-2
fierce,-2
filmy,-2
flaky,-2
flat,-2
flawed,-2
flimsy,-2
foolish,-2
freaky,-2
frustrated,-2
frustrating,-2
fugitive,-2
fussy,-2
futile,-2
fuzzy,-2
garden-variety,-2
geeky,-2
gimmicky,-2
gothic,-2
grave,-2
greasy,-2
greedy,-2
gritty,-2
gruff,-2
gruff-voiced,-2
grungy,-2
guilty,-2
hackneyed,-2
half-bad,-2
half-done,-2
hard-to-reach,-2
harsh,-2
haughty,-2
heavyish,-2
hectic,-2
heedless,-2
hefty,-2
hopeless,-2
hubristic,-2
humid,-2
hungry,-2
icy,-2
ill,-2
illegal,-2
ill-fated,-2
ill-fitting,-2
illogical,-2
ill-prepared,-2
ill-tempered,-2
immature,-2
imminent,-2
implausible,-2
inaccurate,-2
inadequate,-2
inaudible,-2
incessant,-2
incommunicative,-2
incompatible,-2
incomplete,-2
incorrect,-2
inefficient,-2
inept,-2
inescapable,-2
infamous,-2
infertile,-2
inflexible,-2
inoperable,-2
inoperative,-2
insecure,-2
intrusive,-2
ironic,-2
jealous,-2
juvenile,-2
lackadaisical,-2
lackluster,-2
lame,-2
languishing,-2
laughable,-2
lax,-2
lazy,-2
leaden,-2
less-than-desireable,-2
less-than-reliable,-2
less-than-substantial,-2
lilliputian,-2
lonely,-2
longish,-2
long-winded,-2
loony,-2
loopy,-2
lopsided,-2
loud,-2
luckewarm,-2
lukewarm,-2
lustful,-2
maddening,-2
maladjusted,-2
messy,-2
mindless,-2
mischievous,-2
misguided,-2
mish,-2
mish-mash,-2
mis-match,-2
mistaken,-2
monotone,-2
muddy,-2
mundane,-2
naive,-2
naked,-2
nameless,-2
negligent,-2
negligible,-2
nit-picky,-2
noisy,-2
non-adjustable,-2
non-calibrated,-2
non-communicative,-2
non-existant,-2
nonexistent,-2
non-existent,-2
no-no,-2
nonsensical,-2
nosy,-2
notchy,-2
not-quite-mediocre,-2
not-too-subtle,-2
numb,-2
obligatory,-2
obvious,-2
offended,-2
offensive,-2
one-note,-2
one-track,-2
ornery,-2
outdated,-2
over-done,-2
overdue,-2
over-engineered,-2
overgrown,-2
over-played,-2
over-powerful,-2
oversized,-2
over-spiritualized,-2
overweight,-2
overzealous,-2
paranoid,-2
peculiar,-2
pedestrian,-2
perplexed,-2
persistent,-2
picky,-2
pinched,-2
poor,-2
primitive,-2
punchy,-2
punk,-2
puritan,-2
put-off,-2
quite-boring,-2
regretful,-2
relentless,-2
righteous,-2
rip-off,-2
rip-offs,-2
risky,-2
robot-sounding,-2
rowdy,-2
rubbery,-2
run-down,-2
ruthless,-2
sad,-2
sappy,-2
second-skimmings,-2
secretive,-2
self-destructive,-2
self-indulgent,-2
self-inflicted,-2
self-righteous,-2
selling-out,-2
sell-out,-2
shabby,-2
shaky,-2
shady,-2
shallow,-2
sheepish,-2
shoeless,-2
skeptical,-2
sketchy,-2
slack,-2
sluggish,-2
smashed,-2
smashed-up,-2
soggy,-2
sore,-2
sour,-2
spastic,-2
spoon-fed,-2
spongy,-2
spotty,-2
sprawling,-2
squeaky,-2
squeamish,-2
stale,-2
stand-offish,-2
star-crossed,-2
strange,-2
strangely-shaped,-2
strenous,-2
strict,-2
stubby,-2
sub-average,-2
sub-par,-2
sub-plot,-2
surly,-2
suspicious,-2
sweltering,-2
temperamental,-2
tempermental,-2
tense,-2
tepid,-2
thankless,-2
thoughtless,-2
throw-back,-2
thugged-out,-2
tiresome,-2
troubled,-2
touchy,-2
tough,-2
touristy,-2
tumultuous,-2
unappealing,-2
unappropriate,-2
unattended,-2
unauthentic,-2
unavailable,-2
unbelievable,-2
uncaring,-2
uncomfortable,-2
uncontrollable,-2
unconvinced,-2
unconvincing,-2
uncreative,-2
unfair,-2
unfamiliar,-2
unfortunate,-2
unfriendly,-2
un-funny,-2
unfunny,-2
un-gentle,-2
unhurried,-2
unimaginative,-2
unimpressed,-2
unimpressive,-2
uninspired,-2
unintelligent,-2
unjust,-2
unkempt,-2
unmoving,-2
unnerving,-2
unoriginal,-2
unprepared,-2
unrefined,-2
unrelenting,-2
unremarkable,-2
unsavory,-2
un-satisfied,-2
unshaven,-2
unsuspecting,-2
untrue,-2
unwelcome,-2
unwilling,-2
unworthy,-2
vague,-2
violent,-2
vulnerable,-2
watered-down,-2
weak,-2
weirdish,-2
wooden,-2
woody,-2
wrong,-2
wrongful,-2
booted,-2
cheesy,-2
difficult,-2
generic,-2
inappropriate,-2
mediocre,-2
melodramatic,-2
predictable,-2
uninteresting,-2
sinful,-2
indulgent,-2
in-flight,-2
queasy,-2
ingenuous,-2
acute,-2
balky,-2
busted,-2
characterless,-2
commonplace,-2
conformist,-2
esoteric,-2
flat-footed,-2
half-naked,-2
high-sounding,-2
horny,-2
indifferent,-2
laden,-2
lubricious,-2
mere,-2
patriarchal,-2
pseudo,-2
second-rate,-2
stagy,-2
susceptible,-2
uneducated,-2
unwanted,-2
would-be,-2
unsettling,-2
promiscuous,-2
antipathetic,-2
self-defeating,-2
heartbreaking,-2
oafish,-2
vacuous,-2
indecipherable,-2
psychopathic,-2
incomprehensible,-2
ill-conceived,-2
sluttish,-2
heartless,-2
blander-than-bland,-2
one-sided,-2
hollow,-2
puritanical,-2
one-dimensional,-2
shamelessly,-2
frivolous,-2
cloying,-2
clueless,-2
frothy,-2
depressing,-2
catatonic,-2
